id,label,group,indegree,outdegree,CIS
66,Solving by Factoring,FACT,0,2,1
67,Factoring Completely,FACT,0,3,1
68,Sum of Cubes,FACT,0,1,1
69,Difference of Cubes,FACT,0,1,1
70,Factoring Quadratic Form,FACT,0,1,1
75,Variables on Both Sides,LIN,0,1,1
76,Equations with Fractions,LIN,0,2,1
77,Equations with Decimals,LIN,0,2,1
80,Formula Manipulation,LIN,0,1,1
82,Solution Set,LIN,0,1,1
83,Identity Equation,LIN,0,1,1
84,Contradiction,LIN,0,1,1
85,Conditional Equation,LIN,0,1,1
86,Checking Solutions,LIN,0,2,1
88,Consecutive Integers,DATA,0,2,1
89,Perimeter Problems,DATA,0,1,1
90,Distance Rate Time Problems,DATA,0,1,1
93,Inequality Symbols,LIN,0,1,1
94,Graphing Inequalities,GRAPH,0,2,1
97,And Inequalities,LIN,0,1,1
98,Or Inequalities,LIN,0,1,1
100,Absolute Value Inequalities,LIN,0,2,1
103,Domain,FUNC,0,1,1
104,Range,FUNC,0,1,1
105,Input,FUNC,0,1,1
106,Output,FUNC,0,1,1
108,Evaluating Functions,FUNC,0,2,1
109,Independent Variable,FUNC,0,2,1
110,Dependent Variable,FUNC,0,2,1
111,Vertical Line Test,FUNC,0,1,1
112,Discrete Function,FUNC,0,1,1
113,Continuous Function,FUNC,0,1,1
115,Step Function,FUNC,0,1,1
116,Absolute Value Function,FUNC,0,2,1
119,Translation,FUNC,0,1,1
120,Reflection,FUNC,0,1,1
123,X-Coordinate,GRAPH,0,1,1
124,Y-Coordinate,GRAPH,0,1,1
125,Origin,GRAPH,0,1,1
126,Quadrants,GRAPH,0,1,1
130,X-Intercept,GRAPH,0,1,1
133,Rise,GRAPH,0,1,1
134,Run,GRAPH,0,1,1
135,Rate of Change,GRAPH,0,1,1
136,Slope Formula,GRAPH,0,2,1
137,Positive Slope,GRAPH,0,1,1
138,Negative Slope,GRAPH,0,1,1
141,Slope-Intercept Form,GRAPH,0,3,1
142,Point-Slope Form,GRAPH,0,3,1
143,Standard Form,GRAPH,0,1,1
144,Horizontal Line,GRAPH,0,2,1
145,Vertical Line,GRAPH,0,2,1
147,Solution of a System,SYS,0,1,1
149,Inconsistent System,SYS,0,1,1
150,Independent System,SYS,0,1,1
151,Dependent System,SYS,0,1,1
153,Substitution Method,SYS,0,2,1
155,Linear Combination,SYS,0,1,1
158,Solution Region,SYS,0,1,1
159,Boundary Line,SYS,0,1,1
160,Applications of Systems,DATA,0,2,1
164,Axis of Symmetry,QUAD,0,1,1
165,Maximum Value,QUAD,0,1,1
166,Minimum Value,QUAD,0,1,1
167,Standard Form of Quadratic,QUAD,0,2,1
168,Vertex Form,QUAD,0,2,1
171,Solving Quadratics by Graphing,QUAD,0,2,1
172,Solving by Square Roots,QUAD,0,2,1
178,Imaginary Unit,QUAD,0,1,1
180,Projectile Motion,DATA,0,1,1
184,Growth Factor,QUAD,0,1,1
185,Decay Factor,QUAD,0,1,1
186,Initial Value,QUAD,0,1,1
187,Compound Interest,DATA,0,1,1
188,Exponential Models,QUAD,0,1,1
189,Comparing Linear and Exponential,QUAD,0,2,1
190,Graphing Exponentials,QUAD,0,2,1
194,Positive Correlation,DATA,0,1,1
195,Negative Correlation,DATA,0,1,1
196,No Correlation,DATA,0,1,1
198,Linear Regression,DATA,0,1,1
200,Geometric Sequence,DATA,0,2,1
